2010-11-09 09:33:21 Warning: Warning (2): file_get_contents(C:\xampp\htdocs\phprop\app\tmp\properties.json) [<a href='http://php.net/function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in [APP\controllers\phprops_controller.php, line 117]
2010-11-09 09:33:21 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:34:07 Warning: Warning (2): file_get_contents(C:\xampp\htdocs\phprop\app\tmp\properties.json) [<a href='http://php.net/function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in [APP\controllers\phprops_controller.php, line 117]
2010-11-09 09:34:07 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:35:15 Warning: Warning (2): file_get_contents(C:\xampp\htdocs\phprop\app\tmp\properties.json) [<a href='http://php.net/function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in [APP\controllers\phprops_controller.php, line 117]
2010-11-09 09:35:30 Warning: Warning (2): file_get_contents(C:\xampp\htdocs\phprop\app\tmp\properties.json) [<a href='http://php.net/function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in [APP\controllers\phprops_controller.php, line 117]
2010-11-09 09:35:30 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:36:24 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:36:32 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:37:22 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:41:27 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:41:36 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:42:00 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:42:08 Warning: Warning (2): Missing argument 1 for PhpropsController::update(), called in C:\xampp\htdocs\phprop\cake\libs\object.php on line 115 and defined in [APP\controllers\phprops_controller.php, line 35]
2010-11-09 09:51:09 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 09:56:04 Warning: Warning (2): Missing argument 1 for PhpropsController::update(), called in C:\xampp\htdocs\phprop\cake\libs\object.php on line 115 and defined in [APP\controllers\phprops_controller.php, line 35]
2010-11-09 09:57:46 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
2010-11-09 10:00:26 Warning: Warning (2): Invalid argument supplied for foreach() in [APP\views\phprops\index.ctp, line 4]
